Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF Result
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586
43,1,0.0048,0.478,100,706.7,0.53,319,23.47,2649
44,1,0.0048,0.478,100,937.8,0.48,319,23.47,3280
45,1,0.0048,0.478,100,1386.3,0.43,319,23.47,4510
46,1,0.0048,0.716,100,135.9,0.89,326,21.79,536
47,1,0.0048,0.716,100,203.9,0.77,317,23.94,694
48,1,0.0048,0.716,100,271.8,0.71,317,23.94,883
49,1,0.0048,0.716,100,407.7,0.63,317,23.94,1167
50,1,0.0048,0.716,100,557.2,0.6,317,23.94,1545
51,1,0.0048,0.716,100,665.9,0.59,317,23.94,1829
52,1,0.0048,0.716,100,951.4,0.55,317,23.94,2492
53,1,0.0048,0.716,100,937.8,0.55,317,23.94,2429
54,1,0.0048,0.716,100,1413.4,0.53,317,23.94,3532
55,1,0.0048,0.955,100,203.9,0.93,317,23.94,631
56,1,0.0048,0.955,100,271.8,0.75,317,23.94,694
57,1,0.0048,0.955,100,407.7,0.68,317,23.94,946
58,1,0.0048,0.955,100,543.6,0.63,317,23.94,1199
59,1,0.0048,0.955,100,679.5,0.64,317,23.94,1482
60,1,0.0048,0.955,100,951.4,0.55,317,23.94,1861
61,1,0.0048,0.955,100,1100.9,0.49,317,23.94,1987
62,2,0.00384,0.799,7840,3862,0.268,174,260.22,2620
63,2,0.00384,0.799,7840,3934,0.165,402,211.74,3061
64,2,0.00384,0.799,7840,3934,0.214,271,240.12,2791
65,2,0.00384,0.799,7840,3982,0.288,68,281.04,2339
66,2,0.00384,0.799,7840,4054,0.172,319,229.87,2840
67,2,0.00384,0.799,7840,4990,0.156,290,236.08,3130
68,2,0.00384,0.799,7840,4990,0.181,243,246.01,3061
69,2,0.00384,0.799,7840,4990,0.227,155,264.05,2930
